Unnamed: 0,Plant ID,Average flow (MGD),Sludge yield (tone),CODinf,CODeff,BODinf,BODeff,SSinf,SSeff,NH3-Ninf,NH3-Neff,TNinf,TNeff,TPinf,TPeff,Flow based EUI (kWh/m^3),Pollutant removal based EUI (kWh/kg COD removed),Treatment process,Latitude,Longitude,Annual HDD,annual_hdd,avg_temp
2365,1482,3.488232,4116.68,182.81,24.2,71.86,3.5,112.83,6.31,24.45,1.49,35.72,11.41,4.75,0.24,0.38,2.395813631,Other,29.20592,117.11084,5890.5,5890.5,18.90573770491803
2366,1497,10.015816,4029.31,135.4,21.47,48.33,7.58,114.18,9.18,17.09,2.39,21.04,8.32,2.24,0.37,0.24,2.106556658,Other,28.6820199,115.8579399,5861.51,5861.51,18.984945355191257
2367,1500,0.3452032,140,178.22,23.45,112.24,4.09,107.07,3.66,14.56,2.56,36.7,9.16,4.46,0.24,0.56,3.618272275,Other,28.89584,115.79129,6199.36,6199.360000000001,18.061857923497268
2368,1501,34.2452,9213.65,140.76,25,48.28,7.6,138.02,15.44,16.7,1.73,19.97,10.88,3.81,0.65,0.17,1.468555632,Other,28.64046,115.88131,5861.51,5861.51,18.984945355191257
2369,1510,5.72684,156.76,84.68,40.35,30.06,17.39,85.07,29.57,6.03,4.62,7.19,5.6,0.74,0.55,0.28,6.316264381,Other,28.69415,117.07026,5765.73,5765.73,19.24663934426229
2370,1544,10.0975556,7796.58,239.52,18.41,92.8,2.37,445.52,4.28,43.17,0.3,52.02,9.35,5.26,0.16,0.36,1.628148885,Other,36.6908,116.90788,7645.28,7645.280000000001,14.111256830601093
2371,1581,0.79278,227,190.42,18.26,65.92,6.41,119.3,5.28,14.67,2.37,20.36,8.3,2.93,0.29,0.22,1.277881041,Other,36.407693,120.185515,7593.71,7593.710000000001,14.252158469945355
2372,1600,3.182704,1145.7,260.94,24.7,58.26,2.46,98.57,6.04,7.38,0.5,19.12,3.54,0.93,0.08,0.58,2.455130376,Other,36.97111,118.07531,7453.62,7453.620000000001,14.634918032786883
2373,1628,8.33324,8000,195.46,18.98,70.32,0.97,125.2,2.82,25.38,0.22,31.53,9.68,4.51,0.21,0.32,1.813236627,Other,37.5147,118.62747,7510.94,7510.94,14.47830601092896
2374,1634,15.072232,20958,289.11,33.47,95.06,5.25,99.43,6.3,17.55,0.73,29.66,8.84,2.3,0.17,0.21,0.821467689,Other,37.4902799,118.25536,7525.08,7525.079999999999,14.43967213114754
2375,1705,6.82008,1378.9,127.16,20.26,50.77,1.91,98.73,10.87,17.06,0.63,23.12,10.27,2.31,0.62,0.17,1.590271282,Other,35.652855,116.668541,7147.26,7147.26,15.471967213114754
2376,1726,10.3769472,9999.16,345.17,34.75,111.48,6.17,129.41,7.09,26.83,0.72,34.07,9.92,2.24,0.2,0.3,0.966432575,Other,36.18926,116.76658,7400.76,7400.76,14.779344262295082
2377,1748,19.2922108,7524,212,28.44,87.14,8.41,64.73,6.95,19.42,4.65,27.84,12.73,3.04,0.59,0.19,1.035083896,Other,35.569507,118.814236,7568.04,7568.040000000001,14.322295081967214
2378,1764,7.2851052,6035,287.41,17.82,141.19,7.42,147.7,10.97,31.97,1.28,40,12.45,7.19,0.37,0.23,0.853147372,Other,35.062417,118.383053,7315.06,7315.06,15.01349726775956
2379,1804,8.4547272,3192,107.06,17.33,41.6,4.57,85.8,9.21,10.16,0.71,18.44,6.63,2.39,0.37,0.22,2.451799844,Other,36.8006999,115.89741,7275.65,7275.65,15.121338797814207
2380,1809,12.61932,7286,309.15,28.7,112.9,7.51,236.44,6.49,53.05,0.64,63.52,12.79,3.88,0.17,0.43,1.533250134,Other,36.12488,115.80453,7061.77,7061.77,15.70762295081967
2381,1924,3.48968,1225.39,130.49,22.91,57.89,6.18,103.81,6.94,12.65,1.11,18.71,7.73,2.74,0.71,0.26,2.416806098,Other,35.5336536,115.5445808,7020.94,7020.939999999999,15.81825136612022
2382,1930,8.228984,4026,123.55,17.41,32.49,6.58,44.91,9.52,15.34,0.94,29.65,10.48,1.49,0.64,0.27,2.543810062,Other,36.12485,114.40977,6975.76,6975.76,15.942540983606555
2383,1943,0.3603348,38.26,101.05,19.03,89.5,8.52,102.06,6.45,22.15,2.43,22.71,6.68,4.48,0.44,0.41,4.998780785,Other,34.369295,112.972292,7286.14,7286.14,15.092513661202188
2384,1945,7.060448,1223.9,224.14,9.17,111.07,4.11,137.11,6.87,18.46,0.23,28.88,8.85,2.11,0.15,0.43,2.000279109,Other,33.12315,111.52157,6906.42,6906.42,16.13
2385,1975,8.0549344,6139.74,183.32,21.01,65.3,4.07,155.06,10.81,16.57,2.11,21.13,7.73,2.36,0.28,0.21,1.293820467,Other,35.56232,114.55904,7067.59,7067.59,15.68964480874317
2386,1998,36.259368,41373.26,311.49,13.84,184.86,4.13,230.61,4.93,32.57,0.33,44.33,9.23,5,0.21,0.29,0.974298673,Other,35.21191,113.336476,7048.46,7048.46,15.741912568306008
2387,2011,7.704808,3833.94,110.53,16.12,34.49,3.64,69.33,5.83,13.52,1.28,17.02,7.54,1.79,0.22,0.3,3.177629488,Other,33.857739,115.559684,6807.24,6807.240000000001,16.40098360655738
2388,2022,16.84748,17643.17,215.85,18.22,82.35,5.25,118.31,2.97,26.86,2.6,30.99,12.04,3,0.25,0.33,1.669786976,Other,33.610327,114.020093,6819.17,6819.17,16.368387978142078
2389,2026,6.439256,13608.4,428.25,27.7,215.91,2.85,283,2.72,52.82,1.16,63.8,9.35,6.41,0.12,0.54,1.348146299,Other,33.6622841,113.9893791,6819.17,6819.17,16.368387978142078
2390,2121,0.776852,371.05,303.04,13.19,117.95,4.9,128.3,5.71,33.08,0.73,44.2,14.86,4.67,0.42,0.48,1.656028981,Other,34.36411,113.62209,7017.78,7017.78,15.825737704918032
2391,2172,7.404348,2617.79,252.78,9.46,127.88,4.72,320.96,4.25,7.43,0.16,12.3,7.84,1.85,0.13,0.33,1.356238698,Other,33.25482,112.61944,7328.1,7328.1,14.977868852459016
2392,2228,2.94668,1167,104.71,21.27,26.39,5.94,190.13,10.62,17.38,0.66,21.98,9.02,2.01,0.44,0.31,3.715244487,Other,30.41473,114.96208,6131.89,6131.889999999999,18.24620218579235
2393,2258,8.05088,1701.27,181.83,12.17,45.63,1.3,52.42,6.75,15.02,0.26,20.69,6.45,2.36,0.24,0.18,1.06094542,Other,31.778221,111.857655,6434.7,6434.700000000001,17.418852459016392
2394,2265,9.174528,1965,155.46,17.27,53.63,4.81,159.5,6.96,23.05,1.2,28.36,11.73,2.43,0.3,0.34,2.460380635,Other,30.38857,112.909896,6163.39,6163.389999999999,18.16013661202186
2395,2274,22.5174136,32409.91,157.91,10.05,84.74,4.28,89.27,4.34,26.98,1.19,39.22,8.57,3.25,0.12,0.32,2.164209387,Other,31.686105,113.440254,6419.69,6419.6900000000005,17.459863387978142
2396,2277,1.0046224,143.7,109.04,12.27,43.72,4.81,143.15,12.12,17.36,1.87,21.03,8.01,1.46,0.47,0.33,3.410147773,Other,30.403156,113.446778,6130.33,6130.33,18.25046448087432
2397,2285,10.6267272,1246.8,68.13,17.17,24.78,4.48,36.46,9,17.48,0.33,24.13,9.89,1.4,0.29,0.15,2.943485086,Other,30.696252,114.301335,6012.98,6012.98,18.57109289617486
2398,2309,8.39116,2682.33,175.67,14.12,69.32,6.5,76.01,7.6,20.72,2,23.86,6,4.02,0.79,0.21,1.299907149,Other,30.86314,113.97537,6242.97,6242.969999999999,17.94270491803279
2399,2316,7.319278,19290,416.13,16.71,166.44,3.34,197.77,7.85,28.44,1.36,49.32,9.78,5.01,0.14,0.28,0.701016474,Other,30.732843,111.316826,6394.78,6394.78,17.527923497267757
2400,2362,0.4863108,53.76,176.53,18.03,65.26,13.99,100.34,9,21.15,4.92,32.06,15.25,2.37,0.9,0.37,2.334384858,Other,27.11093,110.01572,6335.52,6335.52,17.68983606557377
2401,2367,0.79278,807.7,254.18,23.09,135.91,7.76,134.07,5.01,40.39,2.56,52.55,12.9,4.24,0.39,0.58,2.509844649,Other,25.84404,113.825397,6934.16,6934.160000000001,16.054207650273224
2402,2390,14.24832,9242.15,147.45,21.58,51.16,4.52,166.82,12.57,15.92,2.59,20.22,9.73,2.33,0.26,0.19,1.509493922,Other,28.2164826,113.3981436,5921.92,5921.92,18.81989071038252
2403,2391,15.93524,21130.66,298.68,12.26,172.16,2.27,269.25,4.01,17.3,0.19,29.98,8.12,5.35,0.13,0.19,0.663361497,Other,28.26171,112.5659,5968.09,5968.09,18.693743169398907
2404,2397,28.1548396,24249.92,300.26,25.32,106.9,6.89,353.49,8,17,2.31,28.68,7.76,4.91,0.44,0.22,0.800174584,Other,27.7433586,112.0179044,6344.77,6344.77,17.664562841530053
2405,2425,5.113612,3171.76,214.53,9.01,79.51,3.54,205.28,6.03,19.36,0.5,26.15,7.78,3.66,0.32,0.25,1.216426625,Other,27.319341,111.460742,6663.42,6663.420000000001,16.79393442622951
2406,2430,8.7485264,2600,193.5,11.94,63,3.35,75.31,3.14,23.17,1,26.61,8.24,1.81,0.13,0.23,1.266798854,Other,27.01316,113.31786,5879.16,5879.16,18.93672131147541
2407,2452,1.3637264,169.54,108.68,12.36,68.54,6.15,68.26,6,15.54,1.84,23.99,11.89,4.8,0.45,0.1,1.03820598,Other,28.13523,113.11149,5921.92,5921.92,18.81989071038252
2408,2466,5.3385588,2196.8,179.85,16.89,59.81,7.54,109.08,8.42,28.08,1.38,32.64,8.69,2.7,0.15,0.3,1.840942563,Other,23.2452249,108.829286,4754.69,4754.6900000000005,22.009043715846992
2409,2493,25.074292,10884.54,118.36,12.71,56.18,2.95,188.82,4.76,10.49,0.16,18.82,9.36,2.76,0.18,0.19,1.798390913,Other,25.246,110.32726,5848,5848,19.02185792349727
